City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,53.73,96,100,6.38,AU,1720569654
1,bethel,41.3712,-73.414,83.19,80,97,1.99,US,1720569655
2,susuman,62.7833,148.1667,63.48,45,9,5.12,RU,1720569656
3,barmer,25.75,71.3833,84.47,66,20,5.3,IN,1720569657
4,port-aux-francais,-49.35,70.2167,40.3,86,71,27.56,TF,1720569658
5,palmas,-10.2128,-48.3603,80.47,54,0,4.61,BR,1720569504
6,talnakh,69.4865,88.3972,63.61,65,6,3.42,RU,1720569661
7,papatowai,-46.5619,169.4708,49.95,70,63,6.11,NZ,1720569662
8,dakhla,23.6848,-15.958,65.97,87,0,24.92,EH,1720569663
9,hermanus,-34.4187,19.2345,56.8,78,96,24.85,ZA,1720569664
10,puerto ayora,-0.7393,-90.3518,69.55,100,80,6.17,EC,1720569665
11,torghay,49.6339,63.4981,74.16,43,90,8.19,KZ,1720569667
12,tiksi,71.6872,128.8694,58.3,51,40,4.03,RU,1720569668
13,bilibino,68.0546,166.4372,62.89,43,10,11.41,RU,1720569669
14,kodiak,57.79,-152.4072,51.31,100,100,10.36,US,1720569670
15,dayton,39.7589,-84.1916,84.45,61,75,11.5,US,1720569671
16,olonkinbyen,70.9221,-8.7187,39.2,89,99,18.3,SJ,1720569673
17,remire-montjoly,4.9167,-52.2667,78.84,94,0,4.61,GF,1720569674
18,margaret river,-33.95,115.0667,58.17,60,93,24.83,AU,1720569450
19,dinguiraye,11.3,-10.7167,72.25,92,100,3.67,GN,1720569676
20,tazovsky,67.4667,78.7,53.37,69,87,11.18,RU,1720569677
21,waingapu,-9.6567,120.2641,78.91,75,90,15.7,ID,1720569678
22,adamstown,-25.066,-130.1015,68.16,58,99,10.4,PN,1720569680
23,port alfred,-33.5906,26.891,66.63,45,82,28.32,ZA,1720569681
24,aasiaat,68.7098,-52.8699,37.17,92,100,1.9,GL,1720569682
25,khandyga,62.6667,135.6,57.87,95,100,1.41,RU,1720569683
26,puerto baquerizo moreno,-0.9,-89.6,70.81,84,79,8.05,EC,1720569686
27,saint-philippe,-21.3585,55.7679,62.19,74,27,5.97,RE,1720569687
28,antofagasta,-23.65,-70.4,56.48,82,47,4.76,CL,1720569688
29,balnearia,-31.0088,-62.6673,38.55,46,3,8.21,AR,1720569689
30,vallenar,-28.5708,-70.7581,53.58,71,1,1.63,CL,1720569690
31,yellowknife,62.456,-114.3525,76.41,64,100,2.3,CA,1720569691
32,treviglio,45.5238,9.5895,77.95,74,27,3.44,IT,1720569693
33,puerto natales,-51.7236,-72.4875,41.14,83,98,15.19,CL,1720569694
34,albany,42.6001,-73.9662,84.58,67,95,3.0,US,1720569618
35,san patricio,28.017,-97.5169,91.85,59,96,15.26,US,1720569696
36,nemuro,43.3236,145.575,58.1,99,100,3.96,JP,1720569697
37,rincon,32.296,-81.2354,85.84,78,100,13.8,US,1720569699
38,waitangi,-43.9535,-176.5597,47.82,86,94,4.0,NZ,1720569700
39,grytviken,-54.2811,-36.5092,29.66,88,91,11.14,GS,1720569701
40,alta,69.9689,23.2717,52.86,71,0,5.75,NO,1720569702
41,west island,-12.1568,96.8225,82.38,94,20,5.75,CC,1720569703
42,cidreira,-30.1811,-50.2056,47.3,90,100,4.68,BR,1720569705
43,sao joao da barra,-21.6403,-41.0511,71.69,91,71,6.26,BR,1720569706
44,labytnangi,66.6572,66.4183,63.23,65,6,1.99,RU,1720569707
45,new norfolk,-42.7826,147.0587,54.91,99,100,2.15,AU,1720569708
46,uturoa,-16.7333,-151.4333,78.75,72,11,5.44,PF,1720569709
47,keflavik,64.0049,-22.5624,51.71,93,0,10.36,IS,1720569711
48,rio grande,-32.035,-52.0986,48.31,86,100,11.97,BR,1720569712
49,badger,64.8,-147.5333,59.0,86,100,3.22,US,1720569713
50,invercargill,-46.4,168.35,45.01,85,85,4.0,NZ,1720569714
51,dehloran,32.6941,47.2679,97.11,14,0,9.1,IR,1720569715
52,longyearbyen,78.2186,15.6401,40.84,81,75,21.85,SJ,1720569717
